type	chrom	TSS_start	start_position	end_position	ensembl_gene_id	external_gene_name	dev_geno	test_dev_geno	Dx_beta	Dx_se_beta	Dx_z	Dx_pval	Dx_qval	Dx_pval_BHcorr	Dx_Cochran_stat	Dx_Cochran_pval	Dx_model	tissue	Dx_pval_BHcorr_overall	loci_tissue_specific	loci	loci_complete	best_GWAS_signBH	best_GWAS_sign	best_GWAS_pval	CMC_z	CMC_pval	replicated
heritable	chr1	6526254	6521211	6526255	ENSG00000215788	TNFRSF25	0.0631592135011808	0.0196347962196763	-0.0419972709144769	0.00889217391490695	-4.72294753975428	2.32450825847091e-06	0.00016890202812959	0.00024171136681229	51.153452446328	0.0382238890395094	fixed	DLPC_CMC	0.000240941114698494	chr1:6.3-7Mb	chr1:6.3-7Mb	chr1:6307065-6961983	TRUE	FALSE	4.878e-06	-1.14664118994309	0.25152994551526	TRUE
heritable	chr1	6580120	6526152	6580121	ENSG00000171680	PLEKHG5	0.092909121331188	0.0171896547830332	-0.0314525188663346	0.00889502710081701	-3.53596661481174	0.000406286034387333	0.0100017562206491	0.014313257178662	42.3698343250532	0.182957038772473	fixed	DLPC_CMC	0.0145817578598427	chr1:6.3-7Mb	chr1:6.3-7Mb	chr1:6307065-6961983	TRUE	FALSE	4.878e-06	-0.811252428072667	0.417220723175775	TRUE
heritable	chr1	6761983	6694228	6761984	ENSG00000007923	DNAJC11	0.129926263550145	0.00840482703465886	-0.036201837893475	0.00890718476611819	-4.06434118568891	4.81683230002519e-05	0.00199171739610168	0.0028502957569354	38.9140384575141	0.29787937225108	fixed	DLPC_CMC	0.00296873226142917	chr1:6.3-7Mb	chr1:6.3-7Mb	chr1:6307065-6961983	TRUE	FALSE	4.878e-06	-0.234894025048684	0.814290987166013	TRUE
heritable	chr1	8377886	8377886	8404227	ENSG00000162426	SLC45A1	0.122727793857295	0.0567211241913025	-0.0477705968635847	0.00891153199705066	-5.36053698504306	8.29749365142027e-08	1.03834072650547e-05	1.48594282140851e-05	43.5317932002588	0.152618050584407	fixed	DLPC_CMC	1.29508438701179e-05	chr1:8.2-8.6Mb	chr1:8.2-8.6Mb	chr1:8177886-8577886	TRUE	TRUE	2.025e-09	1.65880727324115	0.0971546342755525	FALSE
heritable	chr1	11539223	11539223	11597641	ENSG00000204624	PTCHD2	0.129182390449949	0.0414825885814517	0.0328147846228862	0.00887790728676693	3.69622970402031	0.000218824999969786	0.00616130084253108	0.00881727984253257	40.4343028859412	0.242755070749769	fixed	DLPC_CMC	0.00925130070738405	chr1:11.3-11.7Mb	chr1:11.3-11.7Mb	chr1:11339223-11739223	TRUE	FALSE	8.515e-05	1.89622407387148	0.0579304211433807	TRUE
heritable	chr1	21044509	20990507	21044510	ENSG00000117245	KIF17	0.366955109122891	0.229166979958864	-0.0287119520458039	0.00887190036800135	-3.23627981095916	0.00121098613749554	0.0223586102684043	0.0319968345427614	29.2956198572401	0.739530923152432	fixed	DLPC_CMC	0.0325591291697989	chr1:20.8-22.6Mb	chr1:20.8-22.6Mb	chr1:20844509-22551681	TRUE	FALSE	3.26e-05	0.575693295311761	0.564822507984385	FALSE
not_heritable	chr1	22351681	22351681	22357716	ENSG00000218510	LINC00339	0.64387353232332	0.621805875199455	-0.0271777733325771	0.00894888094942797	-3.03700244602253	0.00238943516803605	0.0348851891983309	0.0499233008390185	51.226745299853	0.0376613304835448	fixed	DLPC_CMC	0.0511155473876197	chr1:20.8-22.6Mb	chr1:20.8-22.6Mb	chr1:20844509-22551681	TRUE	FALSE	3.26e-05	-2.3031474080061	0.021270550699943	TRUE
heritable	chr1	27226729	27226729	27273353	ENSG00000090273	NUDC	0.0742537224759078	0.0234869778992337	-0.0308784444963819	0.00902272471198896	-3.42229708674943	0.000620944260508185	0.0133010337523236	0.0190347687585126	30.7736008422276	0.672357604991853	fixed	DLPC_CMC	0.0197771556592953	chr1:27-27.4Mb	chr1:27-27.4Mb	chr1:27026729-27426729	TRUE	FALSE	1.834e-05	-0.800142443946579	0.4236282722531	TRUE
heritable	chr1	43766664	43766664	43788779	ENSG00000066056	TIE1	0.0897870981498387	0.0665202483094406	0.027126918678589	0.00894034544908092	3.03421370383151	0.00241163531841418	0.0348851891983309	0.0499233008390185	42.1167009849048	0.190112971041406	fixed	DLPC_CMC	0.0513043651655335	chr1:43.6-44.1Mb	chr1:43.6-44.1Mb	chr1:43566664-44119659	TRUE	TRUE	4.97e-10	-1.10365046442867	0.269744791280354	FALSE
heritable	chr1	43855478	43849588	43855479	ENSG00000159479	MED8	0.0925334859702959	0.00766654356359099	-0.0364387392400801	0.00892644407241642	-4.08211141463143	4.46283916453634e-05	0.00193318473373244	0.00276653116286209	32.2789070936171	0.600156159713799	fixed	DLPC_CMC	0.00281904424026218	chr1:43.6-44.1Mb	chr1:43.6-44.1Mb	chr1:43566664-44119659	TRUE	TRUE	4.97e-10	0.286005364714397	0.774874012663827	FALSE
not_heritable	chr1	43919659	43916824	43919660	ENSG00000178922	HYI	0.211002776671088	0.146659239888865	0.0313717079906911	0.00890601782422309	3.52252921674652	0.000427449923900452	0.0104089992252482	0.0148960522128984	33.8902347306615	0.521560692284918	fixed	DLPC_CMC	0.015178995578084	chr1:43.6-44.1Mb	chr1:43.6-44.1Mb	chr1:43566664-44119659	TRUE	TRUE	4.97e-10	-0.208035228507586	0.835201460680964	FALSE
not_heritable	chr1	64936428	64936428	65158741	ENSG00000158966	CACHD1	0.131872919950898	0.0273297645668039	0.0283024094513592	0.00890558359872583	3.1780521891242	0.00148268059805001	0.0252317959412146	0.0361085769757629	33.9618254396679	0.518085085530638	fixed	DLPC_CMC	0.0370999499979192	chr1:64.7-65.7Mb	chr1:64.7-65.7Mb	chr1:64736428-65668158	TRUE	FALSE	9.264e-05	0.214782157661058	0.829937164389547	TRUE
